iter	Passed	Remaining
787	1989	535
788	1991	532
789	1994	530
790	1996	527
791	1998	524
792	2001	522
793	2003	519
794	2005	517
795	2008	514
796	2010	512
797	2013	509
798	2015	507
799	2018	504
800	2020	501
801	2023	499
802	2025	497
803	2028	494
804	2030	491
805	2033	489
806	2035	486
807	2038	484
808	2040	481
809	2043	479
810	2045	476
811	2048	474
812	2050	471
813	2053	469
814	2055	466
815	2058	464
816	2061	461
817	2063	459
818	2065	456
819	2067	453
820	2070	451
821	2072	448
822	2075	446
823	2077	443
824	2079	441
825	2082	438
826	2084	436
827	2087	433
828	2089	431
829	2092	428
830	2094	425
831	2096	423
832	2099	420
833	2101	418
834	2104	415
835	2106	413
836	2109	410
837	2112	408
838	2114	405
839	2117	403
840	2119	400
841	2121	398
842	2124	395
843	2126	393
844	2129	390
845	2131	388
846	2134	385
847	2136	383
848	2139	380
849	2141	377
850	2143	375
851	2146	372
852	2148	370
853	2151	367
854	2153	365
855	2155	362
856	2158	360
857	2160	357
858	2162	354
859	2164	352
860	2167	349
861	2169	347
862	2171	344
863	2173	342
864	2176	339
865	2178	337
866	2180	334
867	2182	331
868	2184	329
869	2186	326
870	2188	324
871	2191	321
872	2193	319
873	2195	316
874	2198	314
875	2200	311
876	2203	309
877	2205	306
878	2208	303
879	2210	301
880	2213	298
881	2216	296
882	2218	293
883	2220	291
884	2223	288
885	2225	286
886	2228	283
887	2230	281
888	2233	278
889	2235	276
890	2238	273
891	2240	271
892	2243	268
893	2245	266
894	2247	263
895	2250	261
896	2252	258
897	2254	256
898	2256	253
899	2258	250
900	2261	248
901	2264	246
902	2266	243
903	2268	240
904	2270	238
905	2272	235
906	2274	233
907	2276	230
908	2279	228
909	2281	225
910	2283	223
911	2285	220
912	2288	218
913	2290	215
914	2292	212
915	2294	210
916	2297	207
917	2299	205
918	2301	202
919	2303	200
920	2305	197
921	2307	195
922	2309	192
923	2311	190
924	2313	187
925	2316	185
926	2318	182
927	2320	180
928	2322	177
929	2325	175
930	2327	172
931	2329	169
932	2331	167
933	2333	164
934	2336	162
935	2337	159
936	2340	157
937	2342	154
938	2344	152
939	2346	149
940	2348	147
941	2349	144
942	2351	142
943	2353	139
944	2356	137
945	2357	134
946	2359	132
947	2361	129
948	2363	127
949	2365	124
950	2367	121
951	2370	119
952	2372	116
953	2374	114
954	2376	111
955	2378	109
956	2380	106
957	2383	104
958	2385	102
959	2387	99
960	2390	96
961	2392	94
962	2394	92
963	2396	89
964	2398	87
965	2401	84
966	2403	82
967	2405	79
968	2407	77
969	2409	74
970	2411	72
971	2414	69
972	2416	67
973	2419	64
974	2421	62
975	2423	59
976	2426	57
977	2429	54
978	2432	52
979	2434	49
980	2437	47
981	2440	44
982	2442	42
983	2445	39
984	2447	37
985	2449	34
986	2451	32
987	2454	29
988	2457	27
989	2460	24
990	2463	22
991	2465	19
992	2469	17
993	2471	14
994	2473	12
995	2476	9
996	2478	7
997	2481	4
998	2484	2
999	2486	0
